"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"42853";"https://dadosabertos.camara.leg.br/api/v2/eventos/42853";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1426490";"2015-12-22T14:30:00";"";"Encerrada (Termo)";"Reunião Deliberativa Ordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 01";"";"";""
"42864";"https://dadosabertos.camara.leg.br/api/v2/eventos/42864";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1426644";"2015-12-22T14:00:00";"";"Encerrada (Termo)";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"42854";"https://dadosabertos.camara.leg.br/api/v2/eventos/42854";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1425634";"2015-12-22T14:00:00";"";"Cancelada";"A - Apresentação, Discussão e Votação do Parecer do relator, Deputado ANDRE MOURA;

B - Delibração de Requerimentos.";"Reunião Deliberativa";"";"A Definir";"";"";""
"42859";"https://dadosabertos.camara.leg.br/api/v2/eventos/42859";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1425809";"2015-12-22T14:00:00";"";"Cancelada";"Continuação da Votação dos Destaques do Relatório Final.";"Reunião Deliberativa";"";"A Definir";"";"";""
"42861";"https://dadosabertos.camara.leg.br/api/v2/eventos/42861";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1426446";"2015-12-21T14:30:00";"2015-12-21T18:48:00";"Encerrada";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"42857";"https://dadosabertos.camara.leg.br/api/v2/eventos/42857";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1426040";"2015-12-18T15:15:00";"2015-12-18T16:20:00";"Encerrada";"Homenagem ao Trabalho Social e Religioso das Igrejas Assembleias de Deus de Mato Grosso - MT";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
"42776";"https://dadosabertos.camara.leg.br/api/v2/eventos/42776";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1423352";"2015-12-18T09:30:00";"";"Cancelada";"Reunião Deliberativa Extraordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 02";"";"";""
"42809";"https://dadosabertos.camara.leg.br/api/v2/eventos/42809";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1423671";"2015-12-18T09:00:00";"";"Cancelada";"09h - Abertura dos trabalhos pelo Dep. Newton Cardoso Jr., 1º Vice-Presidente da Comissão Especial da Crise Hídrica.


09h10 - Apresentação dos representantes dos seguintes órgãos:

1. Agência Nacional de Águas - ANA

2. Companhia Estadual de Águas e Esgotos - CEDAE/RJ

3. Instituto Estadual do Meio Ambiente - INEA/RJ

4. Ministério do Meio Ambiente - MMA

5. Secretaria de Meio Ambiente do Estado do Rio de Janeiro
6. 13 prefeituras, Vereadores e Secretários de Meio Ambientes da Baixada Fluminense, são elas: Belford Roxo, Duque de Caxias, Guapimirim, Itaguaí, Japeri, Magé, Mesquita, Nilópolis, Nova Iguaçu, Paracambi, Queimados, São João de Meriti e Seropédica. 


13h - Encerramento pelo Celso Pansera, Ministro da Ciência, Tecnologia e Inovação.";"Seminário";"Câmara Municipal de Duque de Caxias/RJ";"";"";"";""
"42856";"https://dadosabertos.camara.leg.br/api/v2/eventos/42856";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1426038";"2015-12-18T09:00:00";"";"Encerrada (Termo)";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"42775";"https://dadosabertos.camara.leg.br/api/v2/eventos/42775";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1423351";"2015-12-17T17:00:00";"";"Cancelada";"Reunião Deliberativa Extraordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 02";"";"";""
