"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"54468";"https://dadosabertos.camara.leg.br/api/v2/eventos/54468";"";"2018-12-21T09:00:00";"";"Encerrada(Comunicado)";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"54467";"https://dadosabertos.camara.leg.br/api/v2/eventos/54467";"";"2018-12-20T14:18:00";"2018-12-20T15:39:00";"Encerrada";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"54449";"https://dadosabertos.camara.leg.br/api/v2/eventos/54449";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1701533";"2018-12-20T10:00:00";"";"Cancelada";"Reunião Deliberativa Ordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 01";"";"";""
"54466";"https://dadosabertos.camara.leg.br/api/v2/eventos/54466";"";"2018-12-20T09:00:00";"2018-12-20T11:55:00";"Encerrada";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"54430";"https://dadosabertos.camara.leg.br/api/v2/eventos/54430";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700216";"2018-12-20T09:00:00";"";"Cancelada";"Reunião Deliberativa Extraordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 06";"";"";""
"54456";"https://dadosabertos.camara.leg.br/api/v2/eventos/54456";"";"2018-12-19T19:44:00";"2018-12-19T21:54:00";"Encerrada";"Sessão Deliberativa Extraordinária";"Sessão Deliberativa";"";"Plenário da Câmara dos Deputados";"";"";""
"54426";"https://dadosabertos.camara.leg.br/api/v2/eventos/54426";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1701523";"2018-12-19T15:00:00";"";"Encerrada (Termo)";"Reunião Deliberativa Extraordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 01";"";"";""
"54427";"https://dadosabertos.camara.leg.br/api/v2/eventos/54427";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1701577";"2018-12-19T14:30:00";"";"Encerrada (Termo)";"Discussão e votação do Relatório do Relator, Deputado Vinicius Carvalho (PRB/SP)";"Reunião Deliberativa";"";"Anexo II, Plenário 09";"";"";""
"54443";"https://dadosabertos.camara.leg.br/api/v2/eventos/54443";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700962";"2018-12-19T14:30:00";"";"Cancelada";"PAUTA SUJEITA A ALTERAÇÕES

Oitivas das testemunhas arroladas pela defesa do Representado, Deputado Lúcio Vieira Lima, referentes ao Processo nº 17/18, <A HREF=""http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2167929"">Representação nº 19/18</A>, do Partido Socialismo e Liberdade - PSOL, e Rede Sustentabilidade - REDE:

1. JOSÉ RONALDO SANTANA DE ALMEIDA (CONFIRMADO)
2. JOSÉ CARLOS ESMERALDO FERNANDES (CONFIRMADO)
3. SENADOR WALTER PINHEIRO (A CONFIRMAR)
4. DEPUTADO ARNALDO JARDIM (A CONFIRMAR)
5. VICE-PREFEITO DE ITABUNA, SR. FERNANDO GOMES VITA (A CONFIRMAR)
6. VANDERLEI SIRAQUE (A CONFIRMAR)
7. MANOEL CORREIA DOS SANTOS NETO (A CONFIRMAR)
8. ALCEU BARROS DE ARAÚJO (A CONFIRMAR)
9. ANTÔNIO ALMIR SANTANA MELO (A CONFIRMAR)
10. LEANDRO SABOIA LAUDANO SANTOS (A CONFIRMAR)
11. RAIMUNDO SOUZA COSTA (A CONFIRMAR)


<A HREF=""http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra;jsessionid=31BB4D600F61EBB6DFEF08647DA47D5C.proposicoesWeb2?codteor=1663931&filename=Tramitacao-REP+19/2018"">Defesa Escrita</A>

Relator: Deputado Hiran Gonçalves (PP/RR)";"Reunião";"";"Anexo II, Plenário 11";"";"";""
"54444";"https://dadosabertos.camara.leg.br/api/v2/eventos/54444";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700997";"2018-12-19T14:50:45";"2018-12-19T17:45:58";"Encerrada (Final)";"EXPOSITORES:

I) ANDREZA WINCKLER COLATTO, Secretária Nacional de Políticas para Mulheres (CONFIRMADA);

II) DULCIELLY NOBREGA DE ALMEIDA, Coordenadora do Núcleo de Defesa da Mulher da Defensoria Pública do DF (CONFIRMADA);

III) ERICKA FILIPPELLI, futura Secretária da Mulher do Distrito Federal (CONFIRMADA);

IV) Representante do Núcleo de Gênero Pró-Mulher do Ministério Público do Distrito Federal e Territórios- MPDFT (A CONFIRMAR);

V) CLAYTON DE SOUZA AVELAR, Presidente do Sindicato dos Servidores da Assistência Social e Cultural do GDF - SINDSASC-DF (CONFIRMADO); e

VI) DOROTÉIA FERREIRA DE OLIVEIRA BOTELHO, representante das mulheres atendidas pela Casa da Mulher Brasileira - unidade de Brasília (CONFIRMADA).


Requerimento  nº 148/2018-CMULHER, de autoria da Deputada Erika Kokay.";"Audiência Pública";"";"Anexo II, Plenário 12";"";"";""
"54455";"https://dadosabertos.camara.leg.br/api/v2/eventos/54455";"";"2018-12-19T14:00:00";"";"Cancelada";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"54403";"https://dadosabertos.camara.leg.br/api/v2/eventos/54403";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1701789";"2018-12-19T14:00:00";"";"Encerrada (Termo)";"Discussão e Votação de propostas.";"Reunião Deliberativa";"";"Anexo II, Plenário 13";"";"";""
"54429";"https://dadosabertos.camara.leg.br/api/v2/eventos/54429";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700211";"2018-12-19T14:00:00";"";"Encerrada (Termo)";"Reunião Deliberativa Ordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 06";"";"";""
"54417";"https://dadosabertos.camara.leg.br/api/v2/eventos/54417";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700914";"2018-12-19T10:00:00";"";"Encerrada (Termo)";"Reunião Deliberativa Ordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 09";"";"";""
"54420";"https://dadosabertos.camara.leg.br/api/v2/eventos/54420";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1700880";"2018-12-19T10:00:00";"";"Encerrada (Termo)";"Reunião Deliberativa Ordinária";"Reunião Deliberativa";"";"Anexo II, Plenário 13";"";"";""
"54423";"https://dadosabertos.camara.leg.br/api/v2/eventos/54423";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1701596";"2018-12-19T10:00:00";"";"Encerrada (Termo)";"Reunião Ordinária Não Deliberativa de encerramento dos trabalhos da Comissão de Viação e Transportes em 2018.";"Reunião";"";"Anexo II, Plenário 11";"";"";""
"54440";"https://dadosabertos.camara.leg.br/api/v2/eventos/54440";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1701322";"2018-12-18T14:30:00";"";"Encerrada (Termo)";"- Discussão e Votação do Parecer";"Reunião Deliberativa";"";"Anexo II, Plenário 03";"";"";""
"54453";"https://dadosabertos.camara.leg.br/api/v2/eventos/54453";"";"2018-12-18T14:00:00";"";"Encerrada (Termo)";"Sessão Não Deliberativa de Debates";"Sessão Não Deliberativa de Debates";"";"Plenário da Câmara dos Deputados";"";"";""
"54452";"https://dadosabertos.camara.leg.br/api/v2/eventos/54452";"";"2018-12-18T09:58:00";"2018-12-18T12:05:00";"Encerrada";"Homenagem aos Setenta Anos da Extensão Rural";"Sessão Não Deliberativa Solene";"";"Plenário da Câmara dos Deputados";"";"";""
